"strain_id","name","type","rating"
3534,"100-og","hybrid","4"
3535,"1024","sativa","4.4"
3536,"13-dawgs","hybrid","4.2"
3537,"24k-gold","hybrid","4.6"
3538,"3-kings","hybrid","4.4"
3539,"303-og","indica","4.2"
3540,"3d-cbd","sativa","4.6"
3541,"3x-crazy","indica","4.4"
3542,"501st-og","hybrid","4.5"
3543,"5th-element","indica","4.4"
3544,"707-headband","hybrid","4.3"
3545,"8-ball-kush","indica","4.3"
3546,"818-og","indica","4.7"
3547,"831-og","indica","5"
3548,"9-pound-hammer","indica","4.5"
3549,"91-krypt","indica","4.7"
3550,"a-10","indica","3.8"
3551,"a-dub","hybrid","4.4"
3552,"a-train","hybrid","4.1"
3553,"acdc","hybrid","4.5"
3554,"ak-47","hybrid","4.2"
3555,"ak-48","hybrid","4"
3556,"aberdeen","hybrid","4.3"
3557,"abusive-og","indica","4.5"
3558,"acapulco-gold","sativa","4.5"
3559,"ace-killer-og","indica","4.8"
3560,"ace-of-spades","indica","4.1"
3561,"aceh","sativa","4.4"
3562,"acid-dough","sativa","5"
3563,"afcrack","hybrid","3.4"
3564,"afghan-big-bud","indica","4"
3565,"afghan-cow","sativa","4.3"
3566,"afghan-diesel","hybrid","3.7"
3567,"afghan-hawaiian","indica","4.1"
3568,"afghan-haze","hybrid","4.3"
3569,"afghan-kush","indica","4.1"
3570,"afghan-skunk","indica","4.3"
3571,"afghan-sour-kush","indica","4.5"
3572,"afghani","indica","4.3"
3573,"afghani-cbd","indica","4.6"
3574,"afghanica","hybrid","4.1"
3575,"afghanimal","indica","5"
3576,"afghooey","indica","4.1"
3577,"afgoo","indica","4.1"
3578,"afgooey","indica","4.3"
3579,"afkansastan","indica","3.8"
3580,"afpak","hybrid","4.2"
3581,"african","sativa","3.9"
3582,"afrikaner","sativa","0"
3583,"afternoon-delight","hybrid","4.8"
3584,"afwreck","hybrid","4.2"
3585,"agent-orange","hybrid","4.2"
3586,"air-jordan-og","indica","4.5"
3587,"alaska","sativa","4.6"
3588,"alaskan-ice","sativa","4.4"
3589,"alaskan-thunder-fuck","sativa","4.4"
3590,"albert-walker","hybrid","4.7"
3591,"alchemy","hybrid","4.8"
3592,"alice-in-wonderland","sativa","4.5"
3593,"alien-abduction","hybrid","3.8"
3594,"alien-apparition","hybrid","4"
3595,"alien-asshat","hybrid","4.8"
3596,"alien-bubba","indica","5"
3597,"alien-dawg","indica","4.3"
3598,"alien-dutchess","sativa","4.2"
3599,"alien-hallucination","hybrid","4.1"
3600,"alien-kush","indica","4.2"
3601,"alien-og","hybrid","4.5"
3602,"alien-reunion","hybrid","4.9"
3603,"alien-rift","indica","4.6"
3604,"alien-rock-candy","hybrid","4.7"
3605,"alien-sour-apple","hybrid","4.6"
3606,"alien-stardawg","sativa","4.4"
3607,"alien-technology","indica","4.5"
3608,"aliens-on-moonshine","indica","4.5"
3609,"allen-iverson-og","indica","5"
3610,"allen-wrench","sativa","4.3"
3611,"allkush","indica","5"
3612,"aloha","sativa","4.2"
3613,"alohaberry","hybrid","4.2"
3614,"alpha-blue","sativa","4.5"
3615,"alpha-cow","sativa","5"
3616,"alpha-express","sativa","4.7"
3617,"alpha-og","hybrid","4.6"
3618,"alpine-star","indica","4.2"
3619,"ambrosia","hybrid","4.4"
3620,"american-dream","hybrid","4.7"
3621,"american-kush","indica","4.8"
3622,"americano","indica","4.6"
3623,"amethyst","hybrid","3.9"
3624,"amethyst-bud","hybrid","4.2"
3625,"amnesia","sativa","4.3"
3626,"amnesia-ganja-haze","sativa","5"
3627,"amnesia-haze","sativa","4.3"
3628,"ancient-kush","indica","4.6"
3629,"ancient-og","indica","4.6"
3630,"anesthesia","indica","4.1"
3631,"angel-og","indica","5"
3632,"animal-cookies","hybrid","4.5"
3633,"anonymous-og","indica","5"
3634,"anubis","indica","5"
3635,"apollo-11","hybrid","4.4"
3636,"apollo-13","hybrid","4.4"
3637,"appalachia","hybrid","4.8"
3638,"appalachian-power","sativa","4.3"
3639,"apple-jack","hybrid","3.6"
3640,"apple-kush","hybrid","4.6"
3641,"appleberry","indica","4.6"
3642,"arabian-gold","sativa","4.1"
3643,"arctic-sun","hybrid","4.3"
3644,"area-51","hybrid","4.4"
3645,"argyle","indica","3.9"
3646,"armageddon","hybrid","4"
3647,"armagnac","hybrid","4.2"
3648,"ash","hybrid","4.5"
3649,"asian-fantasy","sativa","4.4"
3650,"aspen-og","hybrid","4.1"
3651,"astroboy","sativa","4.5"
3652,"athabasca","indica","4.6"
3653,"atomic","hybrid","4.5"
3654,"atomic-northern-lights","hybrid","4.2"
3655,"atomical-haze","sativa","4.4"
3656,"aurora-borealis","indica","4.2"
3657,"aurora-indica","indica","4.4"
3658,"avalon","hybrid","3.6"
3659,"ayahuasca-purple","indica","4.4"
3660,"azure-haze","hybrid","4.4"
3661,"b-52","indica","4.1"
3662,"bc-big-bud","hybrid","4.5"
3663,"bc-roadkill","hybrid","4.5"
3664,"bc-sweet-tooth","indica","4.3"
3665,"bog-bubble","hybrid","4.4"
3666,"bakerstreet","indica","3.7"
3667,"banana-candy","indica","4.2"
3668,"banana-diesel","hybrid","4.4"
3669,"banana-kush","hybrid","4.3"
3670,"banana-og","hybrid","4.4"
3671,"banana-peel","hybrid","4.7"
3672,"bandana","hybrid","4.2"
3673,"bangi-haze","sativa","0"
3674,"barbara-bud","indica","3.6"
